category,metric,grad_cam,integrated_gradients
faithfulness,aopc,0.4428133345724142,0.4904057596952513
faithfulness,insertion_auc,0.7189155079753766,0.5124261858559316
faithfulness,deletion_auc,0.5219705174125006,0.47187322780951413
localization,entropy,10.797168465560691,10.495696327394326
localization,lung_focus_score,0.4193175041526196,0.2814740796321116
robustness,noise_mean,0.3831257475097759,0.3989875315526016
robustness,noise_spearman,0.6727658746362459,0.7280959162704209
robustness,noise_ssim,0.2971215116238103,0.3772719152230616
robustness,noise_iou,0.17948985626927144,0.09159476316432215
robustness,brightness_mean,0.8763236503955801,0.7930257190748765
robustness,brightness_spearman,0.9698499207074281,0.9341199887694388
robustness,brightness_ssim,0.9448871835042684,0.8728587386062223
robustness,brightness_iou,0.7142338469750442,0.5720984298489683
robustness,rotation_mean,0.6587609329021447,0.4264395024111065
robustness,rotation_spearman,0.8909386878711227,0.7207226759881173
robustness,rotation_ssim,0.7392091214439634,0.4362937274730137
robustness,rotation_iou,0.346134989391348,0.12230210377218846
robustness,mean,0.6394034436025001,0.5394842510128616
