,AOPC,Insertion AUC,Deletion AUC,Entropy,Lung Focus Score,Robustness,CERS
AOPC,1.0,-0.7841046059600665,-0.9675541947042096,0.253497381794871,0.046922808862367126,-0.19289132860468475,0.7522521877697094
Insertion AUC,-0.7841046059600665,1.0,0.8652362081855799,-0.24431216799998504,0.20885445944297623,0.40902675456177984,-0.3236279201445116
Deletion AUC,-0.9675541947042096,0.8652362081855799,1.0,-0.15676365322327157,0.011377209457152794,0.259569377849797,-0.6789564231977492
Entropy,0.253497381794871,-0.24431216799998504,-0.15676365322327157,1.0,-0.06850924913869981,-0.30796637451879727,-0.01916156052038835
Lung Focus Score,0.046922808862367126,0.20885445944297623,0.011377209457152794,-0.06850924913869981,1.0,0.20789448541178596,0.5274723538834939
Robustness,-0.19289132860468475,0.40902675456177984,0.259569377849797,-0.30796637451879727,0.20789448541178596,1.0,0.35145427459130696
CERS,0.7522521877697094,-0.3236279201445116,-0.6789564231977492,-0.01916156052038835,0.5274723538834939,0.35145427459130696,1.0
