,AOPC,Insertion AUC,Deletion AUC,Entropy,Lung Focus Score,Robustness,CERS
AOPC,1.0,-0.5930526402436515,-0.8896653907889863,0.009589661275054534,0.0495616742807754,-0.04081985430300037,0.838515043009425
Insertion AUC,-0.5930526402436515,1.0,0.7274889904103388,-0.2393793472445158,0.25921718730707494,0.4086018850063794,-0.3163600444499321
Deletion AUC,-0.8896653907889863,0.7274889904103388,1.0,0.10377412849322962,0.04709223360908754,0.1492776886035313,-0.6902992138947195
Entropy,0.009589661275054534,-0.2393793472445158,0.10377412849322962,1.0,-0.02937811252417994,-0.47096349343540356,-0.09119644400543277
Lung Focus Score,0.0495616742807754,0.25921718730707494,0.04709223360908754,-0.02937811252417994,1.0,0.18399802444746266,0.4314524426883977
Robustness,-0.04081985430300037,0.4086018850063794,0.1492776886035313,-0.47096349343540356,0.18399802444746266,1.0,0.27121866897147795
CERS,0.838515043009425,-0.3163600444499321,-0.6902992138947195,-0.09119644400543277,0.4314524426883977,0.27121866897147795,1.0
