,AOPC,Insertion AUC,Deletion AUC,Entropy,Lung Focus Score,Robustness,CERS
AOPC,1.0,-0.9166965535746736,-0.9736762196579616,-0.18767348869270115,-0.06310679370871541,0.31247624312859784,0.8219097913229784
Insertion AUC,-0.9166965535746736,1.0,0.9510885834401528,0.12172837578381929,0.1849548268878046,-0.25103923703713277,-0.6208599896013256
Deletion AUC,-0.9736762196579616,0.9510885834401528,1.0,0.20859791542921646,0.10869565123035942,-0.30176613356297993,-0.7756582036755222
Entropy,-0.18767348869270115,0.12172837578381929,0.20859791542921646,1.0,-0.03239930657846764,-0.4811490915477219,-0.2958777024176517
Lung Focus Score,-0.06310679370871541,0.1849548268878046,0.10869565123035942,-0.03239930657846764,1.0,-0.24513621190890802,0.4540841600972149
Robustness,0.31247624312859784,-0.25103923703713277,-0.30176613356297993,-0.4811490915477219,-0.24513621190890802,1.0,0.29472560832340333
CERS,0.8219097913229784,-0.6208599896013256,-0.7756582036755222,-0.2958777024176517,0.4540841600972149,0.29472560832340333,1.0
