,AOPC,Insertion AUC,Deletion AUC,Entropy,Lung Focus Score,Robustness,CERS
AOPC,1.0,-0.6407293081450385,-0.8709141046219698,-0.1622504835987982,0.18177552784294357,0.24690290982425814,0.8441124418652508
Insertion AUC,-0.6407293081450385,1.0,0.7885829526278965,0.0921512943984854,0.1265423714861917,-0.20062559163682758,-0.42432399061612547
Deletion AUC,-0.8709141046219698,0.7885829526278965,1.0,0.22592912705272256,-0.09710663867967238,-0.3119150512408939,-0.7678890397991521
Entropy,-0.1622504835987982,0.0921512943984854,0.22592912705272256,1.0,-0.009523809523809525,-0.4459727538379224,-0.31609663744495203
Lung Focus Score,0.18177552784294357,0.1265423714861917,-0.09710663867967238,-0.009523809523809525,1.0,-0.19372762069391283,0.5382145943943697
Robustness,0.24690290982425814,-0.20062559163682758,-0.3119150512408939,-0.4459727538379224,-0.19372762069391283,1.0,0.26137383216034904
CERS,0.8441124418652508,-0.42432399061612547,-0.7678890397991521,-0.31609663744495203,0.5382145943943697,0.26137383216034904,1.0
